celsius_temperature,specific_heat_capacity
245.91,0.5530
246.04,0.5531
246.18,0.5532
246.31,0.5532
246.44,0.5532
246.57,0.5531
246.71,0.5532
246.84,0.5533
246.97,0.5534
247.10,0.5534
247.23,0.5535
247.36,0.5534
247.50,0.5535
247.63,0.5535
247.77,0.5536
247.90,0.5536
248.02,0.5537
248.15,0.5537
248.29,0.5538
248.41,0.5538
248.55,0.5539
248.68,0.5539
248.81,0.5539
248.95,0.5540
249.08,0.5541
249.21,0.5541
249.35,0.5541
249.47,0.5542
249.60,0.5543
249.74,0.5544
249.87,0.5544
250.00,0.5545
250.13,0.5546
250.26,0.5546
250.40,0.5547
250.54,0.5547
250.66,0.5547
250.79,0.5547
250.92,0.5548
251.05,0.5549
251.18,0.5549
251.32,0.5549
251.44,0.5548
251.58,0.5549
251.71,0.5550
251.83,0.5550
251.97,0.5550
252.10,0.5551
252.23,0.5551
252.36,0.5552
252.50,0.5553
252.62,0.5553
252.76,0.5554
252.89,0.5555
253.02,0.5556
253.15,0.5556
253.28,0.5556
253.42,0.5557
253.54,0.5558
253.68,0.5557
253.81,0.5558
253.94,0.5559
254.07,0.5559
254.20,0.5559
254.33,0.5560
254.47,0.5561
254.59,0.5562
254.72,0.5563
254.86,0.5563
254.99,0.5565
255.11,0.5565
255.25,0.5566
255.38,0.5565
255.51,0.5565
255.64,0.5565
255.77,0.5565
255.91,0.5566
256.04,0.5567
256.17,0.5568
256.30,0.5568
256.43,0.5568
256.57,0.5569
256.70,0.5569
256.83,0.5570
256.95,0.5570
257.08,0.5571
257.22,0.5572
257.35,0.5572
257.49,0.5571
257.61,0.5572
257.74,0.5572
257.88,0.5574
258.01,0.5575
258.14,0.5575
258.27,0.5575
258.40,0.5576
258.53,0.5576
258.66,0.5576
258.80,0.5577
258.93,0.5578
259.06,0.5578
259.19,0.5580
259.32,0.5581
259.46,0.5581
259.59,0.5581
259.72,0.5580
259.85,0.5580
259.98,0.5579
260.11,0.5580
260.24,0.5581
260.38,0.5581
260.51,0.5582
260.64,0.5582
260.77,0.5582
260.90,0.5583
261.04,0.5582
261.16,0.5583
261.30,0.5583
261.43,0.5583
261.56,0.5583
261.69,0.5583
261.82,0.5584
261.96,0.5584
262.09,0.5583
262.22,0.5583
262.35,0.5584
262.48,0.5584
262.61,0.5584
262.74,0.5584
262.87,0.5585
263.00,0.5585
263.14,0.5587
263.27,0.5587
263.40,0.5588
263.53,0.5588
263.67,0.5589
263.79,0.5590
263.93,0.5590
264.05,0.5590
264.19,0.5591
264.32,0.5591
264.45,0.5591
264.58,0.5591
264.71,0.5591
264.84,0.5591
264.96,0.5592
265.09,0.5592
265.23,0.5592
265.36,0.5592
265.49,0.5593
265.62,0.5594
265.75,0.5594
265.88,0.5594
266.01,0.5596
266.14,0.5596
266.27,0.5595
266.41,0.5595
266.54,0.5596
266.67,0.5597
266.80,0.5598
266.93,0.5597
267.06,0.5598
267.19,0.5599
267.32,0.5599
267.46,0.5598
267.59,0.5599
267.71,0.5599
267.84,0.5600
267.98,0.5600
268.11,0.5601
268.24,0.5601
268.36,0.5601
268.49,0.5601
268.63,0.5601
268.76,0.5602
268.89,0.5602
269.02,0.5603
269.15,0.5604
269.28,0.5604
269.41,0.5604
269.55,0.5605
269.68,0.5604
269.81,0.5604
269.94,0.5604
270.07,0.5605
270.20,0.5605
270.33,0.5605
270.46,0.5605
270.60,0.5605
270.72,0.5605
270.85,0.5605
270.98,0.5606
271.11,0.5605
271.25,0.5606
271.38,0.5606
271.50,0.5606
271.64,0.5607
271.77,0.5607
271.90,0.5608
272.03,0.5609
272.16,0.5609
272.29,0.5610
272.42,0.5611
272.55,0.5611
272.69,0.5612
272.82,0.5611
272.95,0.5611
273.08,0.5612
273.21,0.5612
273.34,0.5613
273.47,0.5613
273.60,0.5613
273.73,0.5614
273.86,0.5614
273.99,0.5615
274.13,0.5615
274.26,0.5615
274.39,0.5615
274.52,0.5616
274.65,0.5615
274.78,0.5615
274.91,0.5616
275.04,0.5616
275.17,0.5616
275.31,0.5616
275.44,0.5617
275.57,0.5617
275.70,0.5617
275.83,0.5618
275.96,0.5620
